############ Ejecución 1 ############
D: 1024, L: 32768, R: 32768, ciclos: 7403104, accesos: 1310720, ciclos/acc: 5.648120
D: 2048, L: 256, R: 256, ciclos: 24298, accesos: 10240, ciclos/acc: 2.372852
D: 2048, L: 768, R: 768, ciclos: 71830, accesos: 30720, ciclos/acc: 2.338216
D: 2048, L: 2048, R: 2048, ciclos: 196020, accesos: 81920, ciclos/acc: 2.392822
D: 2048, L: 3072, R: 3072, ciclos: 384200, accesos: 122880, ciclos/acc: 3.126628
D: 2048, L: 8192, R: 8192, ciclos: 1571482, accesos: 327680, ciclos/acc: 4.795782
D: 2048, L: 16384, R: 16384, ciclos: 3848484, accesos: 655360, ciclos/acc: 5.872321
D: 2048, L: 32768, R: 32768, ciclos: 7934606, accesos: 1310720, ciclos/acc: 6.053624
D: 4096, L: 256, R: 256, ciclos: 30720, accesos: 10240, ciclos/acc: 3.000000
D: 4096, L: 768, R: 768, ciclos: 69004, accesos: 30720, ciclos/acc: 2.246224
D: 4096, L: 2048, R: 2048, ciclos: 201364, accesos: 81920, ciclos/acc: 2.458057
D: 4096, L: 3072, R: 3072, ciclos: 398672, accesos: 122880, ciclos/acc: 3.244401
D: 4096, L: 8192, R: 8192, ciclos: 1800456, accesos: 327680, ciclos/acc: 5.494556
D: 4096, L: 16384, R: 16384, ciclos: 4151064, accesos: 655360, ciclos/acc: 6.334021
D: 4096, L: 32768, R: 32768, ciclos: 9025254, accesos: 1310720, ciclos/acc: 6.885722
D: 8192, L: 256, R: 256, ciclos: 20166, accesos: 10240, ciclos/acc: 1.969336
D: 8192, L: 768, R: 768, ciclos: 109406, accesos: 30720, ciclos/acc: 3.561393
D: 8192, L: 2048, R: 2048, ciclos: 222146, accesos: 81920, ciclos/acc: 2.711743
D: 8192, L: 3072, R: 3072, ciclos: 489928, accesos: 122880, ciclos/acc: 3.987044
D: 8192, L: 8192, R: 8192, ciclos: 1917046, accesos: 327680, ciclos/acc: 5.850360
D: 8192, L: 16384, R: 16384, ciclos: 4780286, accesos: 655360, ciclos/acc: 7.294138
D: 8192, L: 32768, R: 32768, ciclos: 10241422, accesos: 1310720, ciclos/acc: 7.813585
############ Ejecución 3 ############
D: 1, L: 256, R: 2041, ciclos: 130700, accesos: 81640, ciclos/acc: 1.600931
D: 1, L: 768, R: 6137, ciclos: 392842, accesos: 245480, ciclos/acc: 1.600301
D: 1, L: 2048, R: 16377, ciclos: 1047936, accesos: 655080, ciclos/acc: 1.599707
D: 1, L: 3072, R: 24569, ciclos: 1580200, accesos: 982760, ciclos/acc: 1.607921
D: 1, L: 8192, R: 65529, ciclos: 4216520, accesos: 2621160, ciclos/acc: 1.608647
D: 1, L: 16384, R: 131065, ciclos: 8095778, accesos: 5242600, ciclos/acc: 1.544230
D: 1, L: 32768, R: 262137, ciclos: 15751652, accesos: 10485480, ciclos/acc: 1.502235
D: 2, L: 256, R: 1021, ciclos: 61516, accesos: 40840, ciclos/acc: 1.506268
D: 2, L: 768, R: 3069, ciclos: 184840, accesos: 122760, ciclos/acc: 1.505702
D: 2, L: 2048, R: 8189, ciclos: 524590, accesos: 327560, ciclos/acc: 1.601508
D: 2, L: 3072, R: 12285, ciclos: 717524, accesos: 491400, ciclos/acc: 1.460163
D: 2, L: 8192, R: 32765, ciclos: 2113672, accesos: 1310600, ciclos/acc: 1.612751
D: 2, L: 16384, R: 65533, ciclos: 4218594, accesos: 2621320, ciclos/acc: 1.609340
D: 2, L: 32768, R: 131069, ciclos: 7972022, accesos: 5242760, ciclos/acc: 1.520577
D: 4, L: 256, R: 511, ciclos: 30854, accesos: 20440, ciclos/acc: 1.509491
D: 4, L: 768, R: 1535, ciclos: 92946, accesos: 61400, ciclos/acc: 1.513779
D: 4, L: 2048, R: 4095, ciclos: 278264, accesos: 163800, ciclos/acc: 1.698803
D: 4, L: 3072, R: 6143, ciclos: 371206, accesos: 245720, ciclos/acc: 1.510687
D: 4, L: 8192, R: 16383, ciclos: 990760, accesos: 655320, ciclos/acc: 1.511872
D: 4, L: 16384, R: 32767, ciclos: 2126148, accesos: 1310680, ciclos/acc: 1.622172
D: 4, L: 32768, R: 65535, ciclos: 4260790, accesos: 2621400, ciclos/acc: 1.625387
D: 8, L: 256, R: 256, ciclos: 17176, accesos: 10240, ciclos/acc: 1.677344
D: 8, L: 768, R: 768, ciclos: 51408, accesos: 30720, ciclos/acc: 1.673437
D: 8, L: 2048, R: 2048, ciclos: 137842, accesos: 81920, ciclos/acc: 1.682642
D: 8, L: 3072, R: 3072, ciclos: 206040, accesos: 122880, ciclos/acc: 1.676758
D: 8, L: 8192, R: 8192, ciclos: 550772, accesos: 327680, ciclos/acc: 1.680823
D: 8, L: 16384, R: 16384, ciclos: 1215094, accesos: 655360, ciclos/acc: 1.854086
D: 8, L: 32768, R: 32768, ciclos: 2261662, accesos: 1310720, ciclos/acc: 1.725511
D: 16, L: 256, R: 256, ciclos: 17126, accesos: 10240, ciclos/acc: 1.672461
D: 16, L: 768, R: 768, ciclos: 51760, accesos: 30720, ciclos/acc: 1.684896
D: 16, L: 2048, R: 2048, ciclos: 137486, accesos: 81920, ciclos/acc: 1.678296
D: 16, L: 3072, R: 3072, ciclos: 221036, accesos: 122880, ciclos/acc: 1.798796
D: 16, L: 8192, R: 8192, ciclos: 566402, accesos: 327680, ciclos/acc: 1.728522
D: 16, L: 16384, R: 16384, ciclos: 1484004, accesos: 655360, ciclos/acc: 2.264410
D: 16, L: 32768, R: 32768, ciclos: 2664522, accesos: 1310720, ciclos/acc: 2.032869
D: 32, L: 256, R: 256, ciclos: 16968, accesos: 10240, ciclos/acc: 1.657031
D: 32, L: 768, R: 768, ciclos: 50108, accesos: 30720, ciclos/acc: 1.631120
D: 32, L: 2048, R: 2048, ciclos: 133640, accesos: 81920, ciclos/acc: 1.631348
D: 32, L: 3072, R: 3072, ciclos: 202922, accesos: 122880, ciclos/acc: 1.651383
D: 32, L: 8192, R: 8192, ciclos: 730882, accesos: 327680, ciclos/acc: 2.230475
D: 32, L: 16384, R: 16384, ciclos: 1330940, accesos: 655360, ciclos/acc: 2.030853
D: 32, L: 32768, R: 32768, ciclos: 3210226, accesos: 1310720, ciclos/acc: 2.449208
D: 64, L: 256, R: 256, ciclos: 17044, accesos: 10240, ciclos/acc: 1.664453
D: 64, L: 768, R: 768, ciclos: 62448, accesos: 30720, ciclos/acc: 2.032812
D: 64, L: 2048, R: 2048, ciclos: 147076, accesos: 81920, ciclos/acc: 1.795361
D: 64, L: 3072, R: 3072, ciclos: 247068, accesos: 122880, ciclos/acc: 2.010645
D: 64, L: 8192, R: 8192, ciclos: 639936, accesos: 327680, ciclos/acc: 1.952930
D: 64, L: 16384, R: 16384, ciclos: 1372850, accesos: 655360, ciclos/acc: 2.094803
D: 64, L: 32768, R: 32768, ciclos: 3277668, accesos: 1310720, ciclos/acc: 2.500662
D: 128, L: 256, R: 256, ciclos: 16094, accesos: 10240, ciclos/acc: 1.571680
D: 128, L: 768, R: 768, ciclos: 48594, accesos: 30720, ciclos/acc: 1.581836
D: 128, L: 2048, R: 2048, ciclos: 173236, accesos: 81920, ciclos/acc: 2.114697
D: 128, L: 3072, R: 3072, ciclos: 234842, accesos: 122880, ciclos/acc: 1.911149
D: 128, L: 8192, R: 8192, ciclos: 665452, accesos: 327680, ciclos/acc: 2.030798
D: 128, L: 16384, R: 16384, ciclos: 1625654, accesos: 655360, ciclos/acc: 2.480551
D: 128, L: 32768, R: 32768, ciclos: 5527402, accesos: 1310720, ciclos/acc: 4.217073
D: 256, L: 256, R: 256, ciclos: 16512, accesos: 10240, ciclos/acc: 1.612500
D: 256, L: 768, R: 768, ciclos: 77580, accesos: 30720, ciclos/acc: 2.525391
D: 256, L: 2048, R: 2048, ciclos: 161512, accesos: 81920, ciclos/acc: 1.971582
